batch_id	repo	batch_status	synthetic	target_units	reconstructable	observed_only	unknown	final_states	pr_bearing_target_units	merged_target_units	interventions	claim_to_merge_reconstructable	findings_by_severity	score_numerator	score_denominator	score_percent
HC-A-foundation-kite	shakacode/hichee	completed	false	4	4	0	0	done=1|merged=3	3	3	0	0	UNKNOWN	15	15	100.0
ac-a-0712-0107	shakacode/agent-coordination	completed	false	4	4	0	0	done=1|merged=3	3	3	0	0	UNKNOWN	15	15	100.0
ac-a-coord-cinder	shakacode/agent-coordination		false	2	2	0	0	done=2	0	0	0	0	UNKNOWN	6	6	100.0
ac-b-0712-0107	shakacode/agent-coordination	completed	false	3	3	0	0	done=1|merged=2	2	2	0	0	UNKNOWN	11	11	100.0
ac-datafix-20260716-1555	shakacode/agent-coordination	completed	false	3	3	0	0	done=1|merged=2	2	2	0	0	UNKNOWN	11	11	100.0
aca-20260709-1753	shakacode/agent-coordination		false	4	4	0	0	done=1|merged=3	0	0	0	0	UNKNOWN	12	12	100.0
acd-a-0711-1813	shakacode/agent-coordination-dashboard	complete	false	3	3	0	0	done=1|merged=2	0	0	0	0	UNKNOWN	9	9	100.0
acd-b-0712-0107	shakacode/agent-coordination-dashboard	complete	false	3	3	0	0	done=3	0	0	1	0	UNKNOWN	9	9	100.0
acd-c-0712-0107	shakacode/agent-coordination-dashboard	completed	false	4	4	0	0	done=2|merged=2	2	2	0	1	UNKNOWN	14	14	100.0
acd-c-pr61-followup-0714	shakacode/agent-coordination-dashboard	completed	false	1	1	0	0	merged=1	1	1	0	0	UNKNOWN	4	4	100.0
acd-datafix-20260715-2339	shakacode/agent-coordination-dashboard		false	3	3	0	0	merged=3	3	3	1	0	UNKNOWN	12	12	100.0
acda-operator-ux	shakacode/agent-coordination-dashboard	completed	false	6	6	0	0	done=1|merged=5	5	5	0	0	UNKNOWN	23	23	100.0
aw-ce-pov-orbit	shakacode/agent-workflows		false	8	8	0	0	done=4|merged=4	1	1	0	0	UNKNOWN	25	25	100.0
aw-closeout-20260715-2057	shakacode/agent-workflows	complete	false	6	6	0	0	done=1|merged=5	5	5	6	0	UNKNOWN	23	23	100.0
awfa-20260709-1753-docs-adoption	shakacode/agent-workflows	completed	false	7	7	0	0	done=1|merged=6	0	0	0	0	UNKNOWN	21	21	100.0
awfb-20260709-1753	shakacode/agent-workflows		false	5	5	0	0	done=5	0	0	0	0	UNKNOWN	15	15	100.0
batch-shakacode-control-plane-flow-2vl3ja	shakacode/control-plane-flow		false	1	1	0	0	merged=1	1	1	0	0	UNKNOWN	4	4	100.0
cpor-0710-docs-spawn	shakacode/cypress-playwright-on-rails	completed	false	2	2	0	0	merged=2	2	2	0	0	UNKNOWN	8	8	100.0
hichee-07-13-1342-readonly-db	shakacode/hichee	active	false	1	1	0	0	done=1	0	0	0	0	UNKNOWN	3	3	100.0
hichee-07-14-1718-pr9768	shakacode/hichee	completed	false	1	1	0	0	merged=1	1	1	0	0	UNKNOWN	4	4	100.0
hichee-2026-07-17-deploy-verification-wave1	shakacode/hichee	completed	false	5	5	0	0	merged=5	5	5	0	0	UNKNOWN	20	20	100.0
hichee-20260716-home-search-focus	shakacode/hichee	completed	false	2	2	0	0	done=2	0	0	0	0	UNKNOWN	6	6	100.0
hichee-pr9701-20260714	shakacode/hichee	completed	false	1	1	0	0	merged=1	1	1	0	0	UNKNOWN	4	4	100.0
hichee-pr9815-20260718	shakacode/hichee	completed	false	1	1	0	0	merged=1	1	1	0	0	UNKNOWN	4	4	100.0
hichee-pr9817-spring-opt-in-20260716	shakacode/hichee		false	1	1	0	0	merged=1	1	1	0	0	UNKNOWN	4	4	100.0
hichee-prs-9824-9825-20260717	shakacode/hichee		false	2	2	0	0	merged=2	2	2	0	0	UNKNOWN	8	8	100.0
hichee0715-koa	shakacode/hichee	completed	false	9	9	0	0	abandoned=1|done=8	0	0	0	0	UNKNOWN	27	27	100.0
private-dotfiles-20260717-all-open-prs	justin808/private-dotfiles	completed	false	3	3	0	0	merged=2|superseded=1	3	2	0	0	UNKNOWN	12	12	100.0
ror-17-0-0-rsc187-disposition-20260717	shakacode/react_on_rails_rsc	completed	false	1	1	0	0	done=1	0	0	0	0	UNKNOWN	3	3	100.0
ror-17-0-1-rsc419-investigation-20260717	shakacode/react_on_rails	completed	false	1	1	0	0	done=1	0	0	0	0	UNKNOWN	3	3	100.0
ror-4568-20260710	shakacode/react_on_rails	done	false	5	5	0	0	done=5	0	0	0	0	UNKNOWN	15	15	100.0
ror-4620-main-cache-identity-20260716	shakacode/react_on_rails	completed	false	1	1	0	0	merged=1	1	1	0	0	UNKNOWN	4	4	100.0
ror-4626-closeout-20260712	shakacode/react_on_rails		false	3	3	0	0	merged=3	3	3	0	0	UNKNOWN	12	12	100.0
ror-4653-demo-smoke-20260714-0910-hst	shakacode/react_on_rails	completed	false	3	3	0	0	merged=3	3	3	0	0	UNKNOWN	12	12	100.0
ror-a-ci-fleet-lifecycle-20260718	shakacode/react_on_rails	completed	false	4	4	0	0	closed-unmerged=1|merged=3	4	3	1	0	UNKNOWN	16	16	100.0
