batch_id	repo	target	lanes	lane_statuses	key_complete	exact_claim_count	exact_event_count	coordination_exact	terminal_observed	pr_url_count	github_gate	github_states	target_pr_state	final_state	final_state_source	present_head_check_rollups	reconstruction	score_numerator	score_denominator	gaps
HC-A-foundation-kite	shakacode/hichee	9716	export	done	true	1	14	true	true	1	pass	MERGED	merged	merged	github	PENDING	reconstructable	4	4	""
HC-A-foundation-kite	shakacode/hichee	9717	parity	done	true	1	7	true	true	1	pass	MERGED	merged	merged	github	PENDING	reconstructable	4	4	""
HC-A-foundation-kite	shakacode/hichee	9718	sitemap	done	true	1	5	true	true	1	pass	MERGED	merged	merged	github	PENDING	reconstructable	4	4	""
HC-A-foundation-kite	shakacode/hichee	qa-foundation	qa-foundation	done	true	1	2	true	true	0	not_applicable	""	UNKNOWN	done	coordination	""	reconstructable	3	3	""
HC-staging-release-qa-20260715-1157	shakacode/hichee	adhoc:20260715-release-notifications	notifications	unknown	true	0	0	false	false	0	not_applicable	""	UNKNOWN	UNKNOWN	coordination	""	UNKNOWN	1	3	no_exact_coordination_match|no_terminal_outcome_observed
HC-staging-release-qa-20260715-1157	shakacode/hichee	adhoc:20260715-release-qa-ledger	ledger	unknown	true	0	0	false	false	0	not_applicable	""	UNKNOWN	UNKNOWN	coordination	""	UNKNOWN	1	3	no_exact_coordination_match|no_terminal_outcome_observed
HC-staging-release-qa-20260715-1157	shakacode/hichee	adhoc:20260715-staging-release-qa-automation	qa	unknown	true	0	0	false	false	0	not_applicable	""	UNKNOWN	UNKNOWN	coordination	""	UNKNOWN	1	3	no_exact_coordination_match|no_terminal_outcome_observed
HC-staging-release-qa-20260715-1157	shakacode/hichee	adhoc:20260715-staging-smoke-orchestrator	smoke	heartbeat	true	1	0	true	false	1	pass	MERGED	merged	merged	github	PENDING	UNKNOWN	3	4	no_terminal_outcome_observed
ac-a-0712-0107	shakacode/agent-coordination	44	ac-a-i44	done	true	1	1	true	true	1	pass	MERGED	merged	merged	github	SUCCESS	reconstructable	4	4	""
ac-a-0712-0107	shakacode/agent-coordination	48	ac-a-i48	done	true	1	1	true	true	1	pass	MERGED	merged	merged	github	SUCCESS	reconstructable	4	4	""
